Idioma,Age:,Education:,Country,Do you have experience or work with GIS (Geographic Information System)?,What is your level of fluency in English:,"Active mappers are those who make changes to the platform at least 42 days a year. Do you consider yourself an active mapper? (If you have any questions, you can check at https://hdyc.neis-one.org/).",How long have you been involved in the OSM community?,How often do you visit and use OSM.org?,How did you learn about OpenStreetMap:,What do you use OSM data for?,What is your main involvement with OpenStreetMap?,I use OSM.org...,How often do you use GPS navigation apps?,Which of these definitions do you think best describes OSM?,How often do you write a note in OSM?,How often do you use notes to map or close them in OSM?,Do you use tools to export OSM data?,How often do you use export tools?,Which of these GPS navigation apps do you use most in your day-to-day life?,What formats do you usually download map data in:,Which of these export tools do you use most often?,General,Search (Nominatim),Historic and Changeset,Login,Notes,Profile,Messages,Diary,Settings,Navigation and routing in OSM.org,Help tab,About tab,Export directly in OSM.org,Carto (Default view),GPS Tracks,Search results (Nominatim):,Viewing the search results:,History:,Visualization of the Changest:,Navigating the OpenStreetMap website:,Tags:,Get information about POIs (Point of Interest):,Communication and finding the mappers on the website:,Corporate and bot profiles should be easy to recognize:,would like to see statistics on my profile and other users:,"Other open address data sources (e.g., OpenAddress) could be integrated into the search bar."
"Español (España, alfabetización internacional)",25-34 years old,Master's Degree,Spain,I have little or no experience with GIS,Advanced,Yes,5 to 10 years,2 times per week,Event or speech,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;Add and edit Notes,1 time a week,Collaborative map,1 time a month,1 time a month,No,,Magic Earth;OSMAnd;Komoot,,,2,1,3,5,5,4,5,5,5,,,,,4,3,Imprecise,Confusing,Confusing,Very Clear,Simple,Very Simple,Complicated,Very Simple,Strongly agree,More or less agree,More or less agree
"Español (España, alfabetización internacional)",18-24 years old,Undergraduate or Bachelor's degree,Mexico,I have little or no experience with GIS,Advanced,Yes,Less than 1 year,2 times per week,Application that uses OSM data,I use it academically (school or college),Humanitarian;Hobbyist/community;Government,To edit;To check the history of edits and comments,More than once a day,Collaborative map,1 time a month,1 time a month,Yes,1 time a month,Waze;Apple Maps;Google Maps,GeoJSON / JSON / XML,Directly in OSM.org;APIs and/or Plugins,5,3,4,5,5,5,4,4,4,2,5,5,5,5,5,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Clear,Very Simple,Simple,Very Simple,Simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,45-54 years old,Master's Degree,Chile,I have no experience with GIS or work,Advanced,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS;I use it for work,Corporate (work);Hobbyist/community,To edit;Add and edit Notes,1 time a month,Wikipedia of maps,1 time a month,1 time per day,No,,Magic Earth;Google Maps,,,5,4,5,5,5,5,3,4,5,4,3,3,3,5,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Russia,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time a week,Application that uses OSM data,I use it for navigation/GPS,Humanitarian;Hobbyist/community,To see the rendered data,2 times per week,Collaborative map,1 time a month,I can't remember or I don't use it,No,,"OSMAnd;Yandex, 2GIS",,,4,4,2,5,4,3,4,4,4,4,4,4,4,4,3,Precise,Confusing,Confusing,Confusing,Simple,Neutral - Neither complicated nor simple,Complicated,Very complicated,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Turkey,I have no experience with GIS or work,Basic,Yes,More than 10 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS,Humanitarian;Hobbyist/community,To edit,More than once a day,Geographic database,1 time a month,1 time a month,Yes,1 time a month,Organic Maps,GeoJSON / JSON / XML,GeoFabrik;Overpass Turbo,5,5,5,5,4,4,4,5,4,4,5,5,5,3,3,Precise,Very clear,Very confusing,Confusing,Very Simple,Simple,Simple,Complicated,Strongly agree,Strongly agree,Strongly agree
Deutsch,35-44 years old,Master's Degree,Germany,I have little or no experience with GIS,Advanced,Yes,More than 10 years,1 time per day,Through a friend or family member,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,2 times per week,Geographic database,2 times per week,1 time a month,No,,OSMAnd,,,3,4,2,5,4,3,4,4,3,3,,,,3,2,Precise,Clear,Neutral - Neither confusing nor clear,Confusing,Simple,Simple,Complicated,Complicated,Strongly agree,More or less agree,More or less disagree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Serbia,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,More than once a day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data;To upload GPS traces,1 time a week,Collaborative map,I can't remember or I don't use it,1 time a month,No,,Organic Maps;OSMAnd,,,4,3,1,5,4,4,4,3,4,2,3,3,3,2,2,Precise,Neutral - Neither confusing nor clear,Very confusing,Very confusing,Neutral - Neither complicated nor simple,Simple,Very Complicated,Neutral - Neither complicated nor simple,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Português (Brasil)‎,45-54 years old,Master's Degree,Brazil,Working with GIS,Basic,Yes,5 to 10 years,More than once a day,Application that uses OSM data,I use it for work,Government,To see the rendered data;To upload GPS traces;To edit,2 times per week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time per day,Organic Maps,GeoJSON / JSON / XML,Directly in OSM.org,5,5,5,5,4,4,3,4,5,5,5,4,5,5,5,Precise,Clear,Clear,Clear,Simple,Simple,Simple,Simple,More or less disagree,More or less disagree,More or less disagree
Français (France),65 years old or older,Undergraduate or Bachelor's degree,France,I have no experience with GIS or work,Basic,Yes,5 to 10 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To upload GPS traces;To edit,2 times per week,Geographic database,1 time a month,1 time a week,Yes,1 time a month,OSMAnd;Waze;Google Maps,JPG / PNG;GeoJSON / JSON / XML,Directly in OSM.org;Overpass Turbo,2,3,3,2,2,2,2,2,2,2,3,2,3,2,4,Precise,Clear,Clear,Clear,Simple,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
"Español (España, alfabetización internacional)",45-54 years old,Undergraduate or Bachelor's degree,Chile,Working with GIS,Intermediary,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Corporate (work);Hobbyist/community,To edit;Add and edit Notes;mapeo de árboles,2 times per week,Wikipedia of maps,1 time a month,1 time a month,Yes,1 time a month,Organic Maps;OSMAnd,GeoJSON / JSON / XML;.OSM / .PBF,Overpass Turbo,5,5,4,5,5,3,5,5,5,5,5,4,5,4,4,Very precise,Clear,Clear,Clear,Simple,Neutral - Neither complicated nor simple,Simple,Simple,More or less agree,Strongly agree,More or less agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Serbia,Working with GIS,Advanced,Yes,More than 10 years,1 time per day,"Social Media (Facebook, X (Twitter), Instagram)","data viz, analysis",Humanitarian;Hobbyist/community,Read diary entries,1 time a month,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a week,OSMAnd,Shapefile;gpkg,HOT Export Tool;Overpass Turbo;GeoFabrik,4,3,2,5,3,4,,5,4,4,3,4,3,4,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Confusing,Complicated,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
"Español (España, alfabetización internacional)",25-34 years old,Undergraduate or Bachelor's degree,Argentina,Working with GIS,Intermediary,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,Todas las anteriores,More than once a day,Geographic database,More than once a day,More than once a day,Yes,More than once a day,OSMAnd;StreetComplete,".OSM / .PBF;GeoJSON / JSON / XML;GPX,KMZ","Overpass Turbo;APIs and/or Plugins;UMap, JOSM",4,3,5,5,4,4,5,3,4,4,5,5,4,4,5,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Confusing,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,More or less agree
"Español (España, alfabetización internacional)",45-54 years old,Undergraduate or Bachelor's degree,Colombia,Working with GIS,Basic,Yes,1 to 5 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To edit;To check the history of edits and comments,More than once a day,Geographic database,1 time a month,1 time a month,Yes,1 time a week,OruxMaps;Google Maps,".OSM / .PBF;GeoJSON / JSON / XML;MapsForge, Garmin .img",Overpass Turbo;BBBike;APIs and/or Plugins,4,4,3,4,4,5,3,3,4,3,3,3,4,5,4,Neutral - Neither imprecise nor precise,Clear,Clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,18-24 years old,High School,Turkey,I am a GIS student,Intermediary,Yes,5 to 10 years,2 times per week,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Humanitarian;Hobbyist/community,To edit;To check the history of edits and comments;To see the rendered data,1 time a week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps;OSMAnd;Magic Earth;Yandex Maps,,,4,3,3,5,4,4,1,2,2,1,3,2,1,2,3,Neutral - Neither imprecise nor precise,Confusing,Confusing,Neutral - Neither confusing nor clear,Simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neither agree nor disagree,More or less agree,More or less agree
Português (Brasil)‎,35-44 years old,Undergraduate or Bachelor's degree,Brazil,I have little or no experience with GIS,Basic,No,1 to 5 years,I can't remember or I don't use it,"Social Media (Facebook, X (Twitter), Instagram)",ver ou editar o ciclomapa,Humanitarian,To edit;Add and edit Notes,1 time a week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Waze;Google Maps,,,5,4,4,4,4,4,1,1,3,5,3,3,4,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Chile,Working with GIS,Intermediary,No,More than 10 years,2 times per week,I don't remember,I use it academically (school or college),Humanitarian;Corporate (work);Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time a month,Wikipedia of maps,1 time a month,1 time a month,Yes,1 time a month,Waze,GeoJSON / JSON / XML;.OSM / .PBF;Shapefile,Directly in OSM.org;Overpass Turbo;APIs and/or Plugins,4,5,4,5,5,3,4,1,4,3,3,3,4,4,4,Precise,Clear,Clear,Confusing,Complicated,Simple,Complicated,Simple,Strongly agree,Strongly agree,More or less disagree
Français (France),25-34 years old,Master's Degree,France,Working with GIS,Advanced,No,1 to 5 years,1 time a week,Web Search,I use it for work;I use it for navigation/GPS;I use it academically (school or college),Humanitarian;Corporate (work);Hobbyist/community,To edit;Add and edit Notes;To see the rendered data,1 time a week,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,Apple Maps;Waze;OSMAnd;Google Maps,Shapefile;GeoJSON / JSON / XML,GeoFabrik;HOT Export Tool,4,3,3,5,3,4,3,3,4,5,4,4,2,5,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Simple,Strongly agree,More or less agree,Strongly agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Belgium,I am a GIS student,Advanced,No,Less than 1 year,1 time a month ,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a month,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Maps.me;Google Maps,,,4,5,5,5,,5,5,,5,5,5,5,,4,,Precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Clear,Simple,Complicated,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Master's Degree,Romania,Working with GIS,Intermediary,Yes,1 to 5 years,1 time a week,Web Search,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Collaborative map,I can't remember or I don't use it,1 time a month,Yes,1 time a month,Google Maps;Waze,GeoJSON / JSON / XML;.OSM / .PBF,Directly in OSM.org;Overpass Turbo;GeoFabrik,5,5,4,5,3,3,3,,,4,4,4,3,4,,Neutral - Neither imprecise nor precise,Clear,Clear,Neutral - Neither confusing nor clear,Very Simple,Simple,Very Simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,Strongly agree
"Español (España, alfabetización internacional)",18-24 years old,High School,Argentina,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time a week,Application that uses OSM data,I use it academically (school or college);I use it for navigation/GPS,Humanitarian;Hobbyist/community;Dev,To see the rendered data;To edit;Add and edit Notes,1 time a week,Collaborative map,1 time a week,1 time a week,No,,OSMAnd;Waze;Google Maps;Magic Earth,,,5,4,3,5,5,,,4,3,4,,,4,4,5,Precise,Confusing,,Confusing,Simple,Complicated,Complicated,Complicated,Strongly agree,More or less agree,Strongly agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Russia,I have little or no experience with GIS,Intermediary,Yes,1 to 5 years,More than once a day,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS;I use it for work;I use it academically (school or college),Hobbyist/community,To check the history of edits and comments;To edit;Add and edit Notes,2 times per week,Wikipedia of maps,2 times per week,More than once a day,Yes,1 time per day,Organic Maps;OSMAnd;Yandex Maps,GeoJSON / JSON / XML;.OSM / .PBF,Overpass Turbo,3,2,1,3,3,3,2,4,4,4,3,3,4,4,3,Imprecise,Very confusing,Very confusing,Very confusing,Complicated,Neutral - Neither complicated nor simple,Very Complicated,Very complicated,More or less disagree,Neither agree nor disagree,Strongly disagree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Russia,Working with GIS,Basic,No,5 to 10 years,1 time a week,Web Search,I use it for navigation/GPS,Hobbyist/community;Dev,To see the rendered data,1 time per day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,2GIS,,,4,3,4,5,5,5,,,,3,,,,5,3,Precise,Neutral - Neither confusing nor clear,Clear,Clear,Very Simple,Very Simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,Strongly agree
Português (Brasil)‎,35-44 years old,Master's Degree,Brazil,I have little or no experience with GIS,Intermediary,No,1 to 5 years,1 time a month ,Web Search,I use it academically (school or college),Hobbyist/community,To see the rendered data;To edit,1 time per day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;OSMAnd,,,4,1,4,5,,,,,,3,,,,,,Very imprecise,Confusing,,,,,Complicated,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,Master's Degree,India,I have little or no experience with GIS,Native,Yes,1 to 5 years,2 times per week,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,More than once a day,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,Google Maps;OSMAnd,GeoJSON / JSON / XML,Overpass Turbo,5,5,5,5,2,5,5,4,5,4,5,5,2,4,4,Precise,Clear,Clear,Very Clear,Simple,Simple,Neutral - Neither complicated nor simple,Very Simple,Strongly agree,Strongly disagree,More or less disagree
"Español (España, alfabetización internacional)",55-64 years old,Undergraduate or Bachelor's degree,Spain,Working with GIS,Advanced,No,Less than 1 year,2 times per week,"News (Jornal, Blog etc.)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;Add and edit Notes;To upload GPS traces,1 time per day,Collaborative map,1 time a week,1 time a week,Yes,1 time a month,Google Maps;OSMAnd,GeoJSON / JSON / XML,Directly in OSM.org,4,4,4,4,4,4,4,4,4,5,4,4,3,4,5,Precise,Clear,Clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Neutral - Neither complicated nor simple,More or less agree,Neither agree nor disagree,More or less agree
English (United Kingdom)‎,45-54 years old,Master's Degree,Ireland,I have little or no experience with GIS,Native,No,5 to 10 years,1 time a month ,Work,I use it academically (school or college);I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To upload GPS traces;To edit,1 time a week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,I can't remember or I don't use it,Waze;Google Maps,GeoJSON / JSON / XML;.OSM / .PBF,Directly in OSM.org;APIs and/or Plugins,3,1,1,3,2,1,1,1,1,1,3,3,2,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Brazil,I have no experience with GIS or work,Advanced,No,Less than 1 year,1 time a month ,Application that uses OSM data,I use it academically (school or college),Hobbyist/community;Dev,To check the history of edits and comments;To edit;Add and edit Notes,I can't remember or I don't use it,Collaborative map,1 time a month,I can't remember or I don't use it,No,,Google Maps;Moovit,,,4,2,3,5,4,5,2,2,4,3,3,2,3,3,3,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Elementary School,Spain,Working with GIS,Advanced,Yes,More than 10 years,1 time a month ,I don't remember,I use it for navigation/GPS;I use it for work;Custom maps,Hobbyist/community;Dev,To see the rendered data;To edit;Read diary entries,2 times per week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time per day,Google Maps;OSMAnd;Organic Maps,.OSM / .PBF,GeoFabrik,4,3,4,5,3,5,5,5,5,4,3,5,5,5,4,Imprecise,Neutral - Neither confusing nor clear,Clear,Clear,Neutral - Neither complicated nor simple,Complicated,Simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
Português (Brasil)‎,25-34 years old,Undergraduate or Bachelor's degree,Brazil,I have no experience with GIS or work,Intermediary,No,1 to 5 years,1 time a month ,Through a friend or family member,I use it for navigation/GPS,Humanitarian,To check the history of edits and comments;Read diary entries;Add and edit Notes,2 times per week,Collaborative map,I can't remember or I don't use it,1 time a month,No,,Apple Maps,,,4,5,4,5,5,5,5,4,5,5,4,5,4,5,5,Precise,Clear,Clear,Neutral - Neither confusing nor clear,Simple,Simple,Neutral - Neither complicated nor simple,Simple,Strongly agree,More or less agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Spain,I have no experience with GIS or work,Intermediary,No,1 to 5 years,1 time a month ,Other,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,2 times per week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps,,,5,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Spain,I have no experience with GIS or work,Advanced,No,5 to 10 years,1 time a week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,1 time a month,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,OSMAnd,,,4,4,5,5,4,3,3,,3,,,,,4,,Precise,Clear,Clear,Clear,Neutral - Neither complicated nor simple,,Complicated,Simple,Strongly agree,Neither agree nor disagree,More or less agree
"Español (España, alfabetización internacional)",45-54 years old,Master's Degree,Spain,I have no experience with GIS or work,Advanced,No,5 to 10 years,2 times per week,"News (Jornal, Blog etc.)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;Sygic,,,4,3,3,5,3,3,3,3,4,4,3,3,,4,3,Imprecise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Clear,Simple,Neutral - Neither complicated nor simple,Complicated,Complicated,Strongly disagree,More or less agree,More or less agree
"Español (España, alfabetización internacional)",35-44 years old,Undergraduate or Bachelor's degree,Peru,Working with GIS,Intermediary,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for work;I use it academically (school or college),Humanitarian;Hobbyist/community;Corporate (work),To check the history of edits and comments;To edit;Add and edit Notes,More than once a day,Collaborative map,2 times per week,2 times per week,Yes,2 times per week,"Maps.me;Organic Maps;OSMAnd;Streetcomplete, mapswipe",JPG / PNG;.OSM / .PBF;PDF,Directly in OSM.org,4,4,3,3,3,3,3,3,3,4,3,3,4,3,4,Precise,Clear,Neutral - Neither confusing nor clear,Clear,Very Simple,Simple,Simple,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Ireland,Working with GIS,Advanced,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS;research,Humanitarian;Hobbyist/community,To edit;Add and edit Notes;To see the rendered data,2 times per week,Geographic database,2 times per week,2 times per week,Yes,1 time a week,OSMAnd,JPG / PNG;GeoJSON / JSON / XML,Overpass Turbo,5,4,4,5,5,5,5,5,4,3,5,5,5,4,5,Precise,Clear,Neutral - Neither confusing nor clear,Confusing,Very Simple,Simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,45-54 years old,High School,Serbia,I have little or no experience with GIS,Intermediary,Yes,More than 10 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data;To check the history of edits and comments,2 times per week,Geographic database,1 time a month,1 time a week,Yes,2 times per week,OSMAnd,GeoJSON / JSON / XML,Overpass Turbo,4,4,4,4,4,4,4,1,4,4,2,2,2,4,4,Precise,Very clear,Confusing,Confusing,Simple,Complicated,Complicated,Very complicated,Strongly agree,More or less agree,Neither agree nor disagree
Português (Brasil)‎,45-54 years old,Doctorate/PhD,Brazil,I have no experience with GIS or work,Advanced,No,1 to 5 years,1 time a month ,Web Search,I use it academically (school or college);I use it for work,Humanitarian,To edit;To see the rendered data;Add and edit Notes,1 time a week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,I can't remember or I don't use it,Google Maps,GeoJSON / JSON / XML;PDF;JPG / PNG,Directly in OSM.org,4,5,5,5,5,5,5,5,2,3,3,5,2,,,Neutral - Neither imprecise nor precise,Very confusing,Confusing,Clear,Neutral - Neither complicated nor simple,Complicated,Very Complicated,Neutral - Neither complicated nor simple,Strongly agree,Neither agree nor disagree,
English (United Kingdom)‎,25-34 years old,Master's Degree,Indonesia,I am a GIS student,Advanced,No,1 to 5 years,2 times per week,Work,I use it academically (school or college),Government,To see the rendered data,More than once a day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,Google Maps,GeoJSON / JSON / XML,HOT Export Tool,5,5,4,4,4,5,4,4,5,5,4,4,2,2,2,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,18-24 years old,Master's Degree,Indonesia,I have little or no experience with GIS,Native,Yes,1 to 5 years,2 times per week,Web Search,I use it for navigation/GPS;I use it for work;for fun and knowledge,Humanitarian;Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Wikipedia of maps,1 time a month,1 time a month,Yes,1 time a month,Organic Maps;Google Maps,GeoJSON / JSON / XML,Overpass Turbo,4,4,4,5,5,5,5,5,5,4,4,5,5,3,5,Neutral - Neither imprecise nor precise,Clear,Very clear,Confusing,Very Simple,Simple,Neutral - Neither complicated nor simple,Complicated,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,India,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data,1 time a week,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,No,,Apple Maps;Google Maps;OSMAnd,,,4,3,,5,,4,3,3,3,2,3,3,2,2,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Simple,Strongly agree,Strongly agree,Strongly agree
Português (Brasil)‎,35-44 years old,Doctorate/PhD,Brazil,I have no experience with GIS or work,Intermediary,Yes,Less than 1 year,1 time a week,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data,1 time per day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps,,,3,3,3,5,2,2,2,2,3,3,4,4,4,4,2,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Confusing,Confusing,Complicated,Complicated,Complicated,Simple,Strongly agree,Neither agree nor disagree,More or less agree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Indonesia,I have little or no experience with GIS,Intermediary,Yes,5 to 10 years,More than once a day,Work,I use it for work,Humanitarian;Corporate (work),To check the history of edits and comments;To edit;To upload GPS traces,I can't remember or I don't use it,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,I can't remember or I don't use it,Google Maps,GeoJSON / JSON / XML,Overpass Turbo,5,5,5,5,3,5,5,5,5,5,5,5,,5,5,Imprecise,Very clear,Very clear,Very Clear,Very Simple,Simple,Simple,Very Simple,Strongly agree,Strongly agree,Strongly agree
"Español (España, alfabetización internacional)",45-54 years old,Undergraduate or Bachelor's degree,Argentina,Working with GIS,Intermediary,No,1 to 5 years,1 time a month ,Application that uses OSM data,I use it academically (school or college),Humanitarian;Hobbyist/community,To edit;To see the rendered data,1 time a month,Collaborative map,1 time a month,1 time a month,Yes,I can't remember or I don't use it,OSMAnd,Shapefile;GeoJSON / JSON / XML,Directly in OSM.org,4,5,4,4,4,4,3,4,3,4,4,4,4,4,4,Precise,Clear,Clear,Neutral - Neither confusing nor clear,Simple,Simple,Neutral - Neither complicated nor simple,Simple,Neither agree nor disagree,More or less agree,More or less agree
English (United Kingdom)‎,35-44 years old,High School,Indonesia,I have little or no experience with GIS,Basic,Yes,5 to 10 years,2 times per week,Web Search,I use it for work,Hobbyist/community,To edit,2 times per week,Collaborative map,2 times per week,2 times per week,No,,TomTom,,,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,Very imprecise,Very clear,Very clear,,Simple,Simple,Simple,Simple,Strongly agree,Strongly agree,Strongly agree
